p,sig_eq,test
-3.2665574444016214,2.0062840602919687,0.5061556303640138
-3.2957361391067543,2.006335001537926,0.5061948784704651
-3.3249148338118943,2.006385942775225,0.5062341190313704
-3.3540935285170286,2.006436884019259,0.5062733520303428
-3.3832722232221664,2.0064878252594256,0.5063125774911731
-3.412450917927302,2.0065387665034713,0.5063517954026261
-3.4416296126324393,2.0065897077426933,0.5063910057781835
-3.470808307337576,2.0066406489828585,0.5064302086091642
-3.499987002042713,2.0066915902249716,0.506469403906384
-3.5291656967478495,2.006742531467088,0.5065085916742326
-3.558344391452986,2.0067934727082166,0.50654777191313
-3.587523086158125,2.0068444139455264,0.5065869446247786
-3.616701780863263,2.0068953551856925,0.5066261098084026
-3.6458804755683993,2.006946296426838,0.5066652674760199
-3.6750591702735327,2.0069972376737724,0.5067044176281373
